Date,Winner,WinnerScore,Loser,LoserScore,,,,,
10/29/2024,@S Illinois,106,North Park,71,,,,,
11/4/2024,@Siena,72,Brown,71,O1,,,,
11/4/2024,@Weber St,118,Northwest Indian,35,,,,,
11/4/2024,@Charlotte,88,Presbyterian,79,,,,,
11/4/2024,@Longwood,79,Randolph Col,68,,,,,
11/4/2024,@Campbell,96,Pfeiffer,49,,,,,
11/4/2024,@Army,67,SUNY Albany,59,,,,,
11/4/2024,@Cornell,93,Marywood,52,,,,,
11/4/2024,@UNC Greensboro,73,FGCU,64,,,,,
11/4/2024,@Drexel,95,Georgian Court,43,,,,,
11/4/2024,@IL Chicago,91,St Francis IL,43,,,,,
11/4/2024,@Jacksonville,78,Trinity Bap,65,,,,,
11/4/2024,Kent,70,@Louisiana,66,,,,,
11/4/2024,@Oklahoma,93,Lindenwood,60,,,,,
11/4/2024,@ULM,111,Champion Bap,61,,,,,
11/4/2024,@UMBC,95,PSU York,66,,,,,
11/4/2024,@Samford,100,Mississippi Col,58,,,,,
11/4/2024,@Morgan St,89,Frostburg St,76,,,,,
11/4/2024,@Nevada,91,Sam Houston St,75,,,,,
11/4/2024,@Norfolk St,96,PSU Wilkes-Barre,41,,,,,
11/4/2024,@NC A&T,107,Cheyney St,55,,,,,
11/4/2024,@Prairie View,111,CBS-Houston,90,,,,,
11/4/2024,C Michigan,74,@South Alabama,70,,,,,
11/4/2024,@Southern Utah,96,W New Mexico,68,,,,,
11/4/2024,@USC,77,Chattanooga,51,,,,,
11/4/2024,Vermont,67,@UAB,62,,,,,
11/4/2024,W Illinois,59,@San Jose St,55,,,,,
11/4/2024,@Wyoming,108,Concordia SP,85,,,,,
11/4/2024,@New Mexico,91,Nicholls St,84,,,,,
11/4/2024,@Colorado St,82,North Dakota,56,,,,,
11/4/2024,@Davidson,88,Peace,47,,,,,
11/4/2024,Bucknell,85,@Delaware,73,,,,,
11/4/2024,@Oregon,91,UC Riverside,76,,,,,
11/4/2024,@Ga Southern,80,N Illinois,65,,,,,
11/4/2024,@Southern Miss,77,Bowling Green,68,,,,,
11/4/2024,@UC Irvine,82,Chapman,52,,,,,
11/4/2024,@Montana,92,Hawaii Hilo,61,,,,,
11/4/2024,@Arkansas St,80,Akron,75,O1,,,,
11/4/2024,@Tulsa,82,NE Oklahoma,68,,,,,
11/4/2024,@Utah Valley,92,Western St CO,57,,,,,
11/4/2024,@Loy Marymount,99,Life Pacific,56,,,,,
11/4/2024,@SF Austin,85,Dallas Univ,51,,,,,
11/4/2024,@Gonzaga,101,Baylor,63,,,,,
11/4/2024,@Hofstra,89,Old Westbury,62,,,,,
11/4/2024,@SIUE,95,Westminster MO,42,,,,,
11/4/2024,@St Thomas MN,96,N Central MN,71,,,,,
11/4/2024,@IUPUI,100,IUPUC,44,,,,,
11/4/2024,@E Kentucky,98,Alice Lloyd,69,,,,,
11/4/2024,@Pacific,92,Wm Jessup,65,,,,,
11/4/2024,@Drake,93,York NE,41,,,,,
11/4/2024,@Arizona,93,Canisius,64,,,,,
11/4/2024,@Boston College,69,Citadel,60,,,,,
11/4/2024,@Butler,72,Missouri St,65,,,,,
11/4/2024,@Colorado,76,E Washington,56,,,,,
